,handle,count,compound,positive,negative,neutral,date,text
84,news,85,-0.5994,0.0,0.358,0.642,1542763805.0,5 Wohntipps für die kalte Jahreszeit https://t.co/zpljccSVEQ #living #wohnen
85,news,86,0.0,0.0,0.0,1.0,1542759970.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/lA4cCsqhcP"
86,news,87,0.0,0.0,0.0,1.0,1542717020.0,"Diskussion um Aussage von Minister Faßmann
https://t.co/bZXRLvhZtN"
87,news,88,0.0,0.0,0.0,1.0,1542709811.0,"An bestimme Körperstellen drücken und das Hungergefühl verschwindet. Glaub ihr daran?
❤ = Ich schwöre auf Akupressu… https://t.co/ZbnyR6X8JT"
88,news,89,0.0,0.0,0.0,1.0,1542702625.0,"Wien, eine der unfreundlichsten Städte weltweit?
https://t.co/O5WbD17w4z"
89,news,90,0.0,0.0,0.0,1.0,1542688208.0,"Vorsicht bei der Schnäppchenjagd - wie sehr Kunden wirklich von den Aktionstagen profitiert, ist umstritten. ☝… https://t.co/AubtagwDt8"
90,news,91,0.0,0.0,0.0,1.0,1542674735.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/4pi5J1zYcn"
91,news,92,0.0,0.0,0.0,1.0,1542634216.0,"Der zwischenmenschliche Aspekt der Pflege und Betreuung wird nicht oder zu wenig als Arbeitsbestandteil anerkannt. 

https://t.co/5DGvzmukpC"
92,news,93,0.0,0.0,0.0,1.0,1542619814.0,"""Bin absolut überzeugt, dass weder er noch ein anderes Mitglied dieser Regierung antisemitisch ist oder Antisemitis… https://t.co/WsheGhSH8G"
93,news,94,-0.5994,0.0,0.328,0.672,1542601795.0,"Die ""Liste Pilz"" heißt nicht mehr ""Liste Pilz""

https://t.co/sofrBHNARZ"
94,news,95,0.0,0.0,0.0,1.0,1542588173.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/BSm01qWrsm"
95,news,96,0.0,0.0,0.0,1.0,1542544209.0,Das austrokanadische Start-Up #Amabrush will diesen Traum jetzt wahr werden lassen. https://t.co/EL7RJC0gks
96,news,97,0.0,0.0,0.0,1.0,1542533411.0,"„Du kannst der reifste, saftigste Pfirsich auf der ganzen Welt sein und es wird immer noch jemanden geben, der Pfir… https://t.co/2XYtwQwZPA"
97,news,98,0.0,0.0,0.0,1.0,1542526206.0,"Der ""#Westermarck-Effekt"" beschreibt eine Konstellation, in der #Beziehungen zum Scheitern verurteilt sind. https://t.co/K5j9JN15oj"
98,news,99,0.0,0.0,0.0,1.0,1542511804.0,"Ohne das #Handy geht im Alltag oft gar nichts. Lohnt sich eine Versicherung? Hier einige Tipps.

Ohne das Handy geh… https://t.co/DYvaLiPaDA"
99,news,100,0.0,0.0,0.0,1.0,1542504605.0,Es ist eine traurige Tatsache: Der Bestand der #Vögel reduziert sich weltweit dramatisch. https://t.co/h002sGpFln
100,news,101,0.0,0.0,0.0,1.0,1542450609.0,Wie sich der Körper der Mutter während der Schwangerschaft verändert - und was das Ungeborene schon alles kann. https://t.co/PIBpA59GAv
101,news,102,-0.5994,0.0,0.218,0.782,1542443407.0,Schicksalsjahre einer Partei. Die #Grünen hoffen auf ein politisches #Comeback. Ihre Ziele hängen hoch https://t.co/Wp1brAu86t
102,news,103,-0.5994,0.0,0.17,0.83,1542436205.0,Ich halte seit fünf Jahren einen ganz friedlichen Dackel in Wien und verfolge daher die Debatte über eine Verschärf… https://t.co/qWnoseRms3
103,news,104,0.0,0.0,0.0,1.0,1542427202.0,"""Herbert Grönemeyer"" https://t.co/HaSEyLNskt"
104,news,105,0.0,0.0,0.0,1.0,1542419912.0,Ein Viertel aller Österreicher und Österreicherinnen leidet an #Nahrungsmittelunverträglichkeit. https://t.co/x5zJ7CoWPB
105,news,106,0.4588,0.227,0.0,0.773,1542375179.0,"My week on Twitter 🎉: 208 Mentions, 48.7K Mention Reach, 23 Likes, 6 Retweets, 1.57K Retweet Reach. See yours with… https://t.co/yKw98A4JA2"
106,news,107,0.0,0.0,0.0,1.0,1542371411.0,"Niemand ist über den Tisch gezogen worden, so Kurz

https://t.co/mqZbb4lk0x"
107,news,108,0.3818,0.565,0.0,0.435,1542360522.0,"😲

https://t.co/23S5cRC7Sp"
108,news,109,-0.5994,0.0,0.187,0.813,1542357012.0,"Sie ist Österreichs Aushängeschild in Sachen Mode: Lena Hoschek. Die Modeschöpferin verrät, was es braucht um erfol… https://t.co/AeKCQCq8NA"
109,news,110,-0.5994,0.0,0.245,0.755,1542346209.0,"Anfang Oktober war es zur Anzeige wegen Körperverletzung und gefährlichen Drohungen gekommen.

https://t.co/5DIXH7ZNfn"
110,news,111,0.0,0.0,0.0,1.0,1542341349.0,RT @alexalutteri: In aller Frühe bei @puls4 ... https://t.co/brwXD9Rff7
111,news,112,-0.5994,0.0,0.358,0.642,1542339007.0,"Wie hoch ist die Terrorgefahr in Wien?

https://t.co/0CjW6bUBCm"
112,news,113,0.5719,0.291,0.0,0.709,1542333806.0,"""Happy Birthday, Charles""
Mehr #Haderer gibt es hier https://t.co/4PMN4TdREc https://t.co/scffncLX5r"
113,news,114,0.0,0.0,0.0,1.0,1542331807.0,Ungewöhnlich scharf reagiert Bundeskanzler Sebastian Kurz auf Kritik aus Vorarlberg an einer umstrittenen Abschiebu… https://t.co/6Bmi0GO1Rw
114,news,115,0.0,0.0,0.0,1.0,1542327808.0,"Alles, was Sie heute wissen müssen - im News-Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/kQfU76FDOd"
115,news,116,-0.5994,0.0,0.196,0.804,1542292209.0,"Die Grünen - Jede Wahl der nächsten Jahre wird zur Schicksalswahl. Scheitern verboten.
Der News-Leitartikel von Ren… https://t.co/Ro38ln0uCx"
116,news,117,-0.5994,0.0,0.206,0.794,1542285018.0,"Eine Textnachricht von Heinz-Christian Strache, die versehentlich an den falschen Adressaten ging, sorgt derzeit fü… https://t.co/ssev7IHpgt"
117,news,118,0.0,0.0,0.0,1.0,1542277813.0,"Gewerkschaftsbund und Arbeiterkammer sehen das anders....

https://t.co/p1OresnZHd"
118,news,119,-0.5994,0.0,0.262,0.738,1542270614.0,"Die psychologische Bezeichnung ""Manhattan-Effekt"", bezeichnet spezielle eine Konstellation in einer Partnerschaft. https://t.co/VByGKv0ucT"
119,news,120,0.0,0.0,0.0,1.0,1542259804.0,Rund 130 weitere Hunde  lebten in verwahrlostem Zustand auf dem Gelände. https://t.co/SxCNRbSANf
120,news,121,0.0,0.0,0.0,1.0,1542252608.0,"Rauchen ist eine Sucht, das Aufhören dementsprechend schwer. Wir haben effektive Tipps. https://t.co/5SpE577Dyi"
121,news,122,0.0,0.0,0.0,1.0,1542249007.0,"""Leider wird der Grundgehorsam von Hunden in Österreich stark vernachlässigt"", sagt Agility-Trainer Christian Wöss. https://t.co/ELQrUakRBW"
122,news,123,0.0,0.0,0.0,1.0,1542245407.0,Der ideale Abstand zwischen zwei Schwangerschaften https://t.co/F7ThVVFqp9 #baby #schwanger
123,news,124,0.0,0.0,0.0,1.0,1542242734.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/5Yayh0Idwz"
124,news,125,-0.5994,0.0,0.245,0.755,1542205816.0,"Ein Drittel der Befragten spricht sich für die Einschränkung demokratischer Rechte aus. 

https://t.co/iLP7pEy17K"
125,news,126,-0.5994,0.0,0.302,0.698,1542204118.0,"#Brexit: Theresa May sichert sich die Zustimmung ihres Kabinetts
https://t.co/aDXEEygv38"
126,news,127,0.0,0.0,0.0,1.0,1542204007.0,"Europäische Armee - Was würde das für Österreich bedeuten? 

https://t.co/s9taxEEIgp"
127,news,128,0.0,0.0,0.0,1.0,1542198621.0,Da gibt es wirklich einiges zu tun 😝 https://t.co/qgFbmq5QBa
128,news,129,-0.34,0.0,0.444,0.556,1542185512.0,"ORF-Redakteure schlagen Alarm

https://t.co/OdQmPhKTYE"
129,news,130,0.0,0.0,0.0,1.0,1542173402.0,Prinz Charles feiert heute seinen 70. Geburtstag! Sein Leben in Bildern. 🎂🎉🎁 https://t.co/jrEfxUqGKd
130,news,131,-0.5994,0.0,0.218,0.782,1542171741.0,"Während Ex-Kanzler Kern auf Urlaub in Marokko weilt, ist die SPÖ um Klarstellung bemüht. https://t.co/SAE4g6ooDK"
131,news,132,0.0,0.0,0.0,1.0,1542169804.0,"Wegen ""akuter Gefährdung von Patienten"" https://t.co/B9zE89e4Dm"
132,news,133,-0.5994,0.0,0.262,0.738,1542166207.0,"Die Eckpunkte: Bessere Bezahlung für #Fachexperten, beschleunigtes Aufnahmeverfahren im #Exekutivdienst und… https://t.co/hVHzBOrISO"
133,news,134,0.0,0.0,0.0,1.0,1542159002.0,#Diabetes: Was Sie wissen sollten https://t.co/SES1lZjp3n
134,news,135,0.0,0.0,0.0,1.0,1542155586.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/N1XOAQo9Ef"
135,news,136,-0.4404,0.101,0.196,0.704,1542115808.0,"""Nationalismus und Egoismus dürfen nie wieder eine Chance in Europa haben"", fordert die Deutsche Kanzlerin. https://t.co/MMdoBGGqB5"
136,news,137,0.0,0.0,0.0,1.0,1542108616.0,"Strafanzeige gegen Bundeskanzler Kurz und seinen Vize Strache

https://t.co/rgxrTGzkKi"
137,news,138,0.0,0.0,0.0,1.0,1542090305.0,"Im Palast gäbe es einen Job 😉

https://t.co/oxFQccQx8B"
138,news,139,-0.5994,0.0,0.178,0.822,1542083408.0,Nur vier Faktoren sind für mehr als die Hälfte der weltweiten Todesfälle verantwortlich. Und was noch viel erschütt… https://t.co/XEJAhs7zDM
139,news,140,0.0,0.0,0.0,1.0,1542076206.0,"""Derzeit sind in Österreich über 30 Prozent der Frauen und 50 Prozent der Männer übergewichtig, das sind fast 3,5 M… https://t.co/frlZ2Exx2q"
140,news,141,0.0,0.0,0.0,1.0,1542069304.0,"Alles, was Sie heute wissen müssen - im #News-#Espresso-Video und auf https://t.co/ETr9UbuflU. https://t.co/g9CvAgQKst"
141,news,142,0.0,0.0,0.0,1.0,1542011413.0,Bundespräsident Van der Bellen übt Kritik an Schwarz-Blau https://t.co/8JrNtdwLF0
142,news,143,-0.8316,0.0,0.375,0.625,1542004206.0,"""Die FPÖ und ich garantieren, dass die Notstandshilfe als Versicherungsleistung bleiben wird"", so Hartinger-Klein. 

https://t.co/nBTNE4sJLg"
143,news,144,0.7959,0.441,0.0,0.559,1541939407.0,Vorlesen hat erwiesenermaßen positive Auswirkungen auf unsere Kinder! ❤ https://t.co/DOLHKMtD9A
144,news,145,-0.8225,0.044,0.289,0.667,1541924252.0,"RT @Igby_tweets: Zwischenbericht : 
a) wenn man schon 2x beim gratis Keksestand war , sperren die einen beim 3. Mal vorbeischlendern 😎?
b)…"
145,news,146,0.0,0.0,0.0,1.0,1541921411.0,"#Lokalcheck: Das #Paco hat einen kleinen, aber feinen Ableger in Wiens Innenstadt bekommen.

https://t.co/FrFkVdacKU"
146,news,147,0.0,0.0,0.0,1.0,1541914202.0,"Im Herbst und Winter haben Erkältungs- und #Grippewellen Hochsaison. Diese #Tipps helfen dabei, Ihr Immunsystem zu… https://t.co/VX1eOJPbzW"
147,news,148,0.0,0.0,0.0,1.0,1541907007.0,Politische Urgesteine erzählen über ihr Leben mit der Politik. https://t.co/wAJ9LQAnrv
148,news,149,0.0,0.0,0.0,1.0,1541856608.0,Warum der Verzicht von Büffelmozzarella wichtig ist https://t.co/iqglz3lRAl
149,news,150,0.0,0.0,0.0,1.0,1541849414.0,"""Das in der Tat unangenehme Wirken der FPÖ wird noch von Sebastian Kurz überstrahlt"" https://t.co/ZAYuxHMouV"
